time,area
0,1.5
0.118835833,1.405873896
0.214946667,1.447988086
0.252406111,1.464402164
0.370980278,1.421699987
0.489195,1.370020281
0.607298611,1.405110868
0.725951111,1.341101538
0.844471944,1.360528548
0.963128056,1.266823429
1.081568611,1.277945449
1.199776667,1.242414589
1.318606389,1.249318953
1.437148889,1.191031341
1.555318333,1.175215692
1.673556944,1.16749543
1.791416111,1.145842319
1.909301944,1.196013261
2.027180833,1.148901306
2.145358889,1.097688565
2.2638225,1.104046827
2.381746667,1.046811758
2.4995875,1.080574072
2.618112222,1.057867926
2.736746389,1.010694101
2.855053889,0.997986819
2.877627222,0.997575566
2.973514722,0.995828637
3.092035833,0.960230122
3.210482778,0.929282846
3.329066111,0.904069057
3.448495278,0.81180934
3.567080833,0.809623526
3.803903333,0.762886245
3.922121667,0.776957107
4.040613611,0.694624338
4.159150833,0.680344753
4.277741667,0.722949353
4.396523889,0.699616206
4.516039722,0.675499017
4.634666111,0.667605481
4.753122778,0.647876485
4.871775,0.621459477
4.990224167,0.610193852
5.108751944,0.608033764
5.227536667,0.580577068
5.346364722,0.572886396
5.464741389,0.554496634
5.583121944,0.550261569
